X1 (Mpa),X2(Celcius),X3 (seconds),Y1(%),Y2(%),Y3(-),Y4(%),Y5(%)
200,30,1,18.4,15.1,0.54,100.9,1.26
200,30,300,19.6,16.5,0.86,102.8,0.44
200,30,600,20.1,17,0.67,103.4,1.71
200,30,900,21.6,17.9,0.74,101,1.99
200,30,1200,22.2,18.9,0.52,104.4,1.44
300,30,1,21.5,17.5,0.54,102.3,3.98
300,30,300,22.2,19.6,0.94,102.7,0.07
300,30,600,24.3,22.6,0.7,101.3,1.34
300,30,900,26,24.3,0.66,98.4,2.07
300,30,1200,28.1,26.7,0.95,99.7,1.44
400,30,1,22.5,19.5,0.74,101.3,0.17
400,30,300,25.2,23.6,0.74,102.7,0.44
400,30,600,28.3,27.3,0.66,99.5,0.34
400,30,900,31.1,30.8,0.96,93.4,0.17
400,30,1200,34.4,34.6,0.7,98.4,0.1
500,30,1,24.8,22.4,0.62,100.4,0.17
500,30,300,28.3,27.5,1.01,104.1,3.89
500,30,600,31.8,32.6,0.86,108.2,1.89
500,30,900,35.4,37.9,0.54,99.3,1.62
500,30,1200,39.8,43,0.92,102.2,2.02
600,30,1,25.7,25.2,0.79,98,1.87
600,30,300,30,31.6,0.84,99,2.63
600,30,600,34.9,37.9,0.92,100.4,2.4
600,30,900,40.2,44.3,1.09,100,2.11
600,30,1200,44.9,50.6,0.98,99.8,2.2
200,40,1,22.7,21.4,0.99,96.1,2.26
200,40,300,23.6,23.8,0.96,97,2.44
200,40,600,25.3,25.6,1.15,96.2,2.71
200,40,900,26.5,27.7,1.24,102.6,1.99
200,40,1200,29.5,29.9,1,104.4,2.44
300,40,1,25.4,22.8,1.21,96.6,3.98
300,40,300,27.1,27,1.18,99.5,3.07
300,40,600,30.3,29.8,1.07,97.3,3.34
300,40,900,33,33.8,1.05,99,3.07
300,40,1200,35.9,36.6,1.13,99.7,2.44
400,40,1,27.8,24.6,1.15,101.3,3.17
400,40,300,30.7,29.8,0.93,102.7,3.2
400,40,600,35.2,33.9,0.97,99.5,3.3
400,40,900,38.4,38.9,0.93,101.5,2.97
400,40,1200,42.2,43.8,1.25,98.4,3.1
500,40,1,30.5,26,0.96,96,3.33
500,40,300,35,32.9,0.99,96,3.89
500,40,600,39.5,38.7,1.11,97.2,2.99
500,40,900,43.4,44.6,1.33,99.3,3.62
500,40,1200,49.2,50.7,1.17,102.2,3.02
600,40,1,32.4,27.9,1.07,96.3,3.87
600,40,300,38.1,34.9,1.53,100.6,3.65
600,40,600,42.5,43,1.05,104.1,3.44
600,40,900,49.1,49.9,1.23,104.7,4.01
600,40,1200,55,57.9,1.52,103.4,4.12
200,50,1,29.1,27.9,3.77,97.7,7.26
200,50,300,30.4,31.7,3.8,97,9.18
200,50,600,32.4,34.5,3.66,98.2,10.11
200,50,900,35.6,37.5,3.72,102.6,11.99
200,50,1200,37.9,40.9,3.77,104.4,12.3
300,50,1,32.7,28.9,3.48,96.6,12.98
300,50,300,35.6,33.4,3.55,99.5,12.07
300,50,600,38.8,37.6,3.61,103.8,13.34
300,50,900,42.1,41.9,3.59,105.1,12.07
300,50,1200,45.3,46.5,3.48,105.1,13.44
400,50,1,35.7,29.7,3.41,97.1,13.17
400,50,300,39.4,34.9,3.31,100.3,13.2
400,50,600,44.4,40.8,3.3,102.4,13.3
400,50,900,49,46.7,3.25,103.1,12.97
400,50,1200,52.8,52.9,3.27,98.4,13.1
500,50,1,39.4,30,3.12,96,13.33
500,50,300,43.8,37,3.08,97.6,13.89
500,50,600,49,44.4,3.01,99.3,12.99
500,50,900,54.6,51.8,2.96,100.9,13.62
500,50,1200,59.7,58.7,2.82,102.2,13.02
600,50,1,45.8,31,2.65,99.2,12.93
600,50,300,50.6,38.8,2.71,100.8,13.09
600,50,600,55,48.2,2.56,101.2,13.19
600,50,900,63.9,58.5,2.8,117.2,13.43
600,50,1200,70,65.9,2.83,100.8,13.82
200,60,1,38.2,34.7,4.8,95.9,12.56
200,60,300,39.9,38.7,4.8,95.9,12.7
200,60,600,42.7,43.2,4.74,96.6,15.98
200,60,900,46,47.1,4.66,97.4,15.65
200,60,1200,49.5,51.6,4.49,97.8,16.38
300,60,1,42.1,34.4,4.51,114.9,12.67
300,60,300,45.9,39.8,4.34,99.1,12.77
300,60,600,49.5,45.5,4.43,102.3,16.18
300,60,900,54,50.5,4.36,97.4,16.25
300,60,1200,58,56.6,4.44,101,16.38
400,60,1,45.8,33.9,4.2,97.8,13.07
400,60,300,50.6,40.8,4.08,100.8,13.07
400,60,600,55.5,47.7,4.1,104,17.25
400,60,900,60.8,54.9,4.01,103.9,17.25
400,60,1200,65.7,61.9,3.93,102.3,17.07
500,60,1,49.6,33.6,3.72,95.6,12.87
500,60,300,55.6,41.8,3.58,103,12.63
500,60,600,60.7,50,3.5,103.6,9.4
500,60,900,67,58.7,3.57,103.2,11.11
500,60,1200,72.8,66.7,3.48,103.8,11.62
600,60,1,52.9,33.2,3.31,96.3,11.26
600,60,300,59.6,42.8,3.4,97.5,11.81
600,60,600,66,52.9,3.66,98.2,13.53
600,60,900,72.7,62,3.51,104.6,13.26
600,60,1200,79.8,72,3.57,103.9,15.71
200,70,1,48.6,41,7.98,81.7,23.56
200,70,300,51.8,46.6,8.28,89.8,23.17
200,70,600,55.6,51.8,8.16,86.4,22.98
200,70,900,59,56.7,7.53,79.9,22.65
200,70,1200,63.8,62,7.7,80.3,22.88
300,70,1,54.2,39.8,7.06,81.3,23.67
300,70,300,57.9,46.5,7.42,81.7,22.77
300,70,600,62.9,52.9,7.64,78.4,23.18
300,70,900,68.2,59.9,8.13,79.9,23.25
300,70,1200,72.8,66,7.8,72.2,22.38
400,70,1,59,38.9,7.18,72.2,23.07
400,70,300,64.6,46.8,7.64,78.5,23.07
400,70,600,68.9,54.8,7.55,75.2,23.25
400,70,900,75.1,62.8,7.22,73.5,22.85
400,70,1200,81,70.8,7.14,72.7,22.07
500,70,1,62.9,37.4,8.23,70.8,21.87
500,70,300,69.4,47,7.78,70.2,22.63
500,70,600,75.9,56,8.19,66.7,22.4
500,70,900,81.9,65.4,8.03,69.6,22.11
500,70,1200,89.4,75,7.56,66.2,23.62
600,70,1,67.3,36.3,5.83,74.6,23.02
600,70,300,73.2,48.7,6.23,80.1,22.7
600,70,600,79.8,57.7,6.55,71.4,22.63
600,70,900,85.5,68.9,6.56,70.9,22.57
600,70,1200,91,76.2,6.92,70.3,23.49
